Pos,Title,Director,Year,Country,Length,Genre,Colour
76,"Gold Rush, The","Chaplin, Charles",1925,USA,82,Comedy-Adventure-Family,BW
77,"Clockwork Orange, A","Kubrick, Stanley",1971,UK,137,Science Fiction-Crime-Drama,Col
78,"Magnificent Ambersons, The","Welles, Orson",1942,USA,88,Drama,BW
79,Pickpocket,"Bresson, Robert",1959,France,75,Drama-Crime,BW
80,Late Spring,"Ozu, Yasujiro",1949,Japan,108,Romance-Drama-Family,BW
81,Close-Up,"Kiarostami, Abbas",1990,Iran,98,Documentary-Drama-Crime,Col
82,Jules et Jim,"Truffaut, François",1962,France,104,Romance-Drama,BW
83,It's a Wonderful Life,"Capra, Frank",1946,USA,129,Fantasy-Drama-Family,BW
84,"Shining, The","Kubrick, Stanley",1980,USA,142,Horror,Col
85,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Akerman, Chantal",1975,Belgium-France,201,Drama-Avant-Garde,Col
86,Annie Hall,"Allen, Woody",1977,USA,94,Romance-Comedy,Col
87,"Conformist, The","Bertolucci, Bernardo",1970,Italy-France-West Germany,107,Political-Drama,Col
88,Nashville,"Altman, Robert",1975,USA,159,Drama,Col
89,Blue Velvet,"Lynch, David",1986,USA,120,Mystery-Crime-Drama,Col
90,Gertrud,"Dreyer, Carl Theodor",1964,Denmark,116,Drama,BW
91,Sansho the Bailiff,"Mizoguchi, Kenji",1954,Japan,125,Drama,BW
92,"Man Escaped, A","Bresson, Robert",1956,France,102,Prison-Drama,BW
93,"Man Who Shot Liberty Valance, The","Ford, John",1962,USA,119,Western,BW
94,Jaws,"Spielberg, Steven",1975,USA,124,Horror-Thriller-Adventure,Col
95,"Woman Under the Influence, A","Cassavetes, John",1974,USA,155,Drama,Col
96,Once Upon a Time in America,"Leone, Sergio",1984,Italy-USA,229,Drama-Crime,Col
97,Greed,"von Stroheim, Erich",1924,USA,140,Drama,BW
98,Blow-Up,"Antonioni, Michelangelo",1966,Italy-UK,111,Mystery-Drama,Col
