Pos,Title,Director,Year,Country,Length,Genre,Colour
315,Snow White and the Seven Dwarfs,"Hand, David",1937,USA,83,Animated-Family-Fantasy,Col
316,Stranger Than Paradise,"Jarmusch, Jim",1984,USA,90,Comedy,BW
317,Make Way for Tomorrow,"McCarey, Leo",1937,USA,92,Drama,BW
318,Harold and Maude,"Ashby, Hal",1971,USA,91,Comedy-Drama-Romance,Col
319,"World of Apu, The","Ray, Satyajit",1959,India,103,Drama,BW
320,West Side Story,"Wise, Robert/Jerome Robbins",1961,USA,151,Romance-Musical-Dance,Col
321,Kiss Me Deadly,"Aldrich, Robert",1955,USA,106,Crime-Thriller-Drama,BW
322,"Turin Horse, The","Tarr, Béla",2011,Hungary-France-Germany-Switzerland-USA,146,Drama,BW
323,Tie Xi Qu: West of the Tracks,Wang Bing,2003,China,551,Documentary,Col
324,"Sacrifice, The","Tarkovsky, Andrei",1986,France-Sweden,145,Drama,Col
325,Heat,"Mann, Michael",1995,USA,174,Thriller-Drama-Crime,Col
326,"Silence of the Lambs, The","Demme, Jonathan",1991,USA,118,Thriller-Mystery,Col
327,Berlin Alexanderplatz [TV],"Fassbinder, Rainer Werner",1980,West Germany-Italy,894,Drama-History-Political,Col
328,"Philadelphia Story, The","Cukor, George",1940,USA,112,Romance-Comedy,BW
329,It Happened One Night,"Capra, Frank",1934,USA,105,Romance-Comedy,BW
330,Bride of Frankenstein,"Whale, James",1935,USA,75,Horror-Science Fiction,BW
331,In the Realm of the Senses,"Oshima, Nagisa",1976,Japan-France,109,Drama-Adult-Romance,Col
332,Happy Together,Wong Kar-wai,1997,Hong Kong,97,Romance-Drama,Col
333,"Puppetmaster, The",Hou Hsiao-hsien,1993,Taiwan,141,Drama-Biography,Col
334,"Quince Tree Sun, The","Erice, Victor",1992,Spain,133,Documentary-Biography-Drama,Col
335,Melancholia,"von Trier, Lars",2011,Denmark-Sweden-France-Germany,136,Drama-Science Fiction,Col
336,Midnight Cowboy,"Schlesinger, John",1969,USA,113,Drama,Col
337,Reservoir Dogs,"Tarantino, Quentin",1992,USA,99,Drama-Crime-Thriller,Col
338,"Innocents, The","Clayton, Jack",1961,UK,100,Horror-Thriller,BW
339,"Killing of a Chinese Bookie, The","Cassavetes, John",1976,USA,109,Drama-Crime,Col
340,"Separation, A","Farhadi, Asghar",2011,Iran,123,Drama,Col
341,Days of Being Wild,Wong Kar-wai,1990,Hong Kong,94,Drama,Col
342,Cabaret,"Fosse, Bob",1972,USA,128,Musical-Drama-Dance,Col
343,"Time to Live and the Time to Die, The",Hou Hsiao-hsien,1985,Taiwan,137,Drama,Col
344,"House is Black, The","Farrokhzad, Forugh",1963,Iran,20,Documentary-Short,BW
345,"Canterbury Tale, A","Powell, Michael/Emeric Pressburger",1944,UK,124,Drama,BW
346,"Touch of Zen, A","Hu, King",1971,Taiwan,200,Adventure-Action-Drama,Col
347,Aliens,"Cameron, James",1986,USA,137,Science Fiction-Horror-Action,Col
348,Dogville,"von Trier, Lars",2003,Denmark-Sweden-France-UK-Germany-Finland-Italy-Netherlands-Norway,177,Drama,Col
349,Orpheus,"Cocteau, Jean",1950,France,95,Romance-Fantasy-Drama,BW
350,Army of Shadows,"Melville, Jean-Pierre",1969,France-Italy,140,War-Drama,Col
351,Mad Max: Fury Road,"Miller, George",2015,Australia-USA,120,Action-Adventure-Science Fiction,Col
352,Teorema,"Pasolini, Pier Paolo",1968,Italy,98,Drama,Col
353,Amadeus,"Forman, Milos",1984,USA,158,Musical-Biography-Drama,Col
354,Carrie,"De Palma, Brian",1976,USA,97,Horror-Thriller,Col
355,"Plaisir, Le","Ophüls, Max",1952,France,97,Romance-Drama,BW
356,To Kill a Mockingbird,"Mulligan, Robert",1962,USA,129,Drama,BW
357,Suspiria,"Argento, Dario",1977,Italy,92,Horror,Col
358,"I Was Born, But...","Ozu, Yasujiro",1932,Japan,100,Drama-Comedy,BW
359,"Tenant, The","Polanski, Roman",1976,France-USA,125,Horror-Thriller-Mystery,Col
360,Brokeback Mountain,"Lee, Ang",2005,USA-Canada,134,Romance-Drama,Col
361,I Am Cuba,"Kalatozov, Mikhail",1964,USSR-Cuba,141,Political-Drama,BW
362,How Green Was My Valley,"Ford, John",1941,USA,118,Drama,BW
363,Toni Erdmann,"Ade, Maren",2016,Germany-Austria-Switzerland-Romania,162,Comedy-Drama,Col
364,"Elephant Man, The","Lynch, David",1980,USA,125,Drama-Biography,BW
365,Lola Montès,"Ophüls, Max",1955,France-West Germany,116,Drama-Biography-Romance,Col
366,WALL-E,"Stanton, Andrew",2008,USA,98,Animated-Adventure-Science Fiction,Col
367,Lost in Translation,"Coppola, Sofia",2003,USA-Japan,102,Romance-Drama-Comedy,Col
368,High Noon,"Zinnemann, Fred",1952,USA,84,Western,BW
369,Listen to Britain,"Jennings, Humphrey",1942,UK,20,Documentary-Short-War,BW
370,Werckmeister Harmonies,"Tarr, Béla",2000,Hungary-Germany-France-Switzerland-Italy,145,Drama,BW
371,Last Tango in Paris,"Bertolucci, Bernardo",1972,France-Italy,136,Romance-Drama-Adult,Col
372,"Young Girls of Rochefort, The","Demy, Jacques",1967,France,124,Musical-Dance-Comedy,Col
373,"Gleaners & I, The","Varda, Agnès",2000,France,82,Documentary,Col
374,Talk to Her,"Almodóvar, Pedro",2002,Spain,112,Romance-Drama,Col
375,Marnie,"Hitchcock, Alfred",1964,USA,130,Crime-Drama-Mystery,Col
376,Platform,Jia Zhangke,2000,China-Hong Kong-Japan-France,154,Drama-History,Col
377,Salvatore Giuliano,"Rosi, Francesco",1962,Italy,125,History-Drama-Crime,BW
378,All That Heaven Allows,"Sirk, Douglas",1955,USA,89,Romance-Drama,Col
379,Lost Highway,"Lynch, David",1997,USA-France,134,Mystery-Drama-Thriller,Col
380,Stromboli,"Rossellini, Roberto",1950,Italy,107,Drama,BW
381,Written on the Wind,"Sirk, Douglas",1956,USA,99,Drama,Col
382,Taste of Cherry,"Kiarostami, Abbas",1997,Iran,99,Drama,Col
383,Woman in the Dunes,"Teshigahara, Hiroshi",1964,Japan,127,Drama,BW
384,Yellow Earth,Chen Kaige,1984,China,89,Drama-Political,Col
385,Land Without Bread,"Buñuel, Luis",1932,Spain,28,Documentary-Short-Drama,BW
386,Muriel,"Resnais, Alain",1963,France-Italy,115,Drama,Col
387,Through the Olive Trees,"Kiarostami, Abbas",1994,Iran-France,103,Drama,Col
388,"Palm Beach Story, The","Sturges, Preston",1942,USA,90,Romance-Comedy,BW
389,1900,"Bertolucci, Bernardo",1976,Italy-France-West Germany,245,Political-Drama-History,Col
390,Russian Ark,"Sokurov, Aleksandr",2002,Russia-Germany-Japan-Canada-Finland-Denmark,96,Fantasy-Drama,Col
391,"Crouching Tiger, Hidden Dragon","Lee, Ang",2000,Taiwan-Hong Kong-USA-China,120,Drama-Adventure-Action,Col
392,High and Low,"Kurosawa, Akira",1963,Japan,142,Thriller-Crime-Drama,BW
393,Accattone,"Pasolini, Pier Paolo",1961,Italy,120,Drama,BW
394,"King of Comedy, The","Scorsese, Martin",1983,USA,109,Drama-Comedy,Col
395,If….,"Anderson, Lindsay",1968,UK,111,Drama,Col-BW
396,Man of Aran,"Flaherty, Robert",1934,UK,77,Documentary,BW
397,"White Ribbon, The","Haneke, Michael",2009,Germany-Austria-France-Italy,144,Crime-Drama-Mystery,BW
398,Barren Lives,"Pereira dos Santos, Nelson",1963,Brazil,103,Drama,BW
399,Under the Skin,"Glazer, Jonathan",2013,UK-USA-Switzerland,108,Drama-Science Fiction-Thriller,Col
400,Tristana,"Buñuel, Luis",1970,Spain-Italy-France,98,Drama,Col
401,"Voyage dans la lune, Le","Méliès, Georges",1902,France,14,Science Fiction-Short-Adventure,BW
402,I Know Where I'm Going!,"Powell, Michael/Emeric Pressburger",1945,UK,91,Romance-Comedy-Drama,BW
403,"Double Life of Veronique, The","Kieslowski, Krzysztof",1991,France,97,Fantasy-Drama-Romance,Col
404,Mon oncle,"Tati, Jacques",1958,France,126,Comedy,Col
405,El,"Buñuel, Luis",1953,Mexico,91,Drama,BW
406,Network,"Lumet, Sidney",1976,USA,121,Drama,Col
407,Nostalghia,"Tarkovsky, Andrei",1983,Italy,120,Drama,Col
408,"Crime of Monsieur Lange, The","Renoir, Jean",1936,France,90,Drama-Crime-Comedy,BW
409,Elephant,"Van Sant, Gus",2003,USA,81,Drama,Col
410,"Awful Truth, The","McCarey, Leo",1937,USA,92,Romance-Comedy,BW
411,À nos amours,"Pialat, Maurice",1983,France,102,Drama,Col
412,"Long Goodbye, The","Altman, Robert",1973,USA,112,Drama-Crime,Col
413,"Bridge on the River Kwai, The","Lean, David",1957,UK,161,War-Drama-Action,Col
414,Don't Look Back,"Pennebaker, D.A.",1967,USA,96,Documentary-Musical,BW
415,October,"Eisenstein, Sergei & Grigori Aleksandrov",1928,USSR,103,History-Drama,BW
416,Halloween,"Carpenter, John",1978,USA,93,Horror-Thriller,Col
417,Heaven's Gate,"Cimino, Michael",1980,USA,219,Western-Drama-History,Col
418,Butch Cassidy and the Sundance Kid,"Hill, George Roy",1969,USA,112,Western,Col
419,Dead Man,"Jarmusch, Jim",1995,USA-Germany,121,Western-Drama,BW
420,"Affair to Remember, An","McCarey, Leo",1957,USA,115,Romance-Drama,Col
421,Yojimbo,"Kurosawa, Akira",1961,Japan,110,Drama-Action,BW
422,Some Came Running,"Minnelli, Vincente",1958,USA,136,Drama,Col
423,Boogie Nights,"Anderson, Paul Thomas",1997,USA,155,Drama,Col
424,"Hustler, The","Rossen, Robert",1961,USA,135,Drama-Sport,BW
425,Fitzcarraldo,"Herzog, Werner",1982,West Germany,157,Drama-Adventure,Col
426,"Death of Mr. Lazarescu, The","Puiu, Cristi",2005,Romania,154,Drama,Col
427,Fight Club,"Fincher, David",1999,USA-Germany,139,Drama,Col
428,Ivan's Childhood,"Tarkovsky, Andrei",1962,USSR,94,War-Drama,BW
429,Shoot the Piano Player,"Truffaut, François",1960,France,92,Drama-Crime-Thriller,BW
430,Five Easy Pieces,"Rafelson, Bob",1970,USA,98,Drama,Col
431,Shadows of Our Forgotten Ancestors,"Parajanov, Sergei",1964,USSR,97,Romance-Drama-History,Col
432,Landscape in the Mist,"Angelopoulos, Theo",1988,Greece-Italy-France,127,Drama,Col
433,No Country for Old Men,"Coen, Joel & Ethan Coen",2007,USA,122,Crime-Drama,Col
434,Punch-Drunk Love,"Anderson, Paul Thomas",2002,USA,95,Romance-Drama-Comedy,Col
435,Raise the Red Lantern,Zhang Yimou,1991,China-Hong Kong-Taiwan,125,Drama,Col
436,Festen,"Vinterberg, Thomas",1998,Denmark,105,Drama,Col
437,"Tree of Wooden Clogs, The","Olmi, Ermanno",1978,Italy,185,Drama,Col
438,Vagabond,"Varda, Agnès",1985,France,105,Drama,Col
439,"Star is Born, A","Cukor, George",1954,USA,154,Musical-Drama,Col
440,Monty Python's Life of Brian,"Jones, Terry",1979,UK,93,Religious-Comedy,Col
441,Repulsion,"Polanski, Roman",1965,UK,105,Horror-Thriller,BW
442,"Cranes Are Flying, The","Kalatozov, Mikhail",1957,USSR,94,War-Romance-Drama,BW
443,Dead Ringers,"Cronenberg, David",1988,Canada,115,Thriller-Horror-Drama,Col
444,Hoop Dreams,"James, Steve",1994,USA,170,Documentary-Drama-Sport,Col
445,Dersu Uzala,"Kurosawa, Akira",1975,USSR-Japan,144,Drama-Adventure,Col
446,"Terminator, The","Cameron, James",1984,USA,107,Science Fiction-Action,Col
447,Safe,"Haynes, Todd",1995,USA,119,Drama,Col
448,Withnail & I,"Robinson, Bruce",1987,UK,107,Drama-Comedy,Col
449,Day for Night,"Truffaut, François",1973,France,120,Drama-Comedy,Col
450,Two-Lane Blacktop,"Hellman, Monte",1971,USA,101,Drama,Col
451,In a Year with 13 Moons,"Fassbinder, Rainer Werner",1978,West Germany,129,Drama,Col
452,"Dead, The","Huston, John",1987,USA,83,Drama,Col
453,Naked,"Leigh, Mike",1993,UK,126,Drama,Col
454,Flowers of Shanghai,Hou Hsiao-hsien,1998,Taiwan,130,Drama,Col
455,Oldboy,Park Chan-wook,2003,South Korea,120,Action-Mystery-Thriller,Col
456,Fantasia,Various Directors,1940,USA,120,Fantasy-Family-Animated,Col
457,Scenes from a Marriage,"Bergman, Ingmar",1973,Sweden,168,Drama,Col
458,Amour,"Haneke, Michael",2012,Austria-France-Germany,127,Romance-Drama,Col
459,Pinocchio,"Sharpsteen, Ben & Hamilton Luske",1940,USA,88,Fantasy-Family-Animated,Col
460,"Scarlet Empress, The","von Sternberg, Josef",1934,USA,110,History-Drama-Biography,BW
461,Boyhood,"Linklater, Richard",2014,USA,165,Drama,Col
462,"Sorrow and the Pity, The","Ophüls, Marcel",1969,France-Switzerland-Germany,260,Documentary-War-History,BW
463,Opening Night,"Cassavetes, John",1977,USA,144,Drama,Col
464,Splendor in the Grass,"Kazan, Elia",1961,USA,124,Drama,Col
465,"Flowers of St. Francis, The","Rossellini, Roberto",1950,Italy,83,Religious-Drama,BW
466,Charulata,"Ray, Satyajit",1964,India,117,Romance-Drama,BW
467,Senso,"Visconti, Luchino",1954,Italy,115,War-Drama-Romance,Col
468,"Cloud-Capped Star, The","Ghatak, Ritwik",1960,India,126,Drama-Musical,BW
469,French Cancan,"Renoir, Jean",1955,France,93,Musical-Drama-Comedy,Col
470,Easy Rider,"Hopper, Dennis",1969,USA,94,Drama,Col
471,Closely Watched Trains,"Menzel, Jirí",1966,Czechoslovakia,89,Drama-Comedy,BW
472,"Cameraman, The","Keaton, Buster/Edward Sedgwick",1928,USA,69,Romance-Comedy,BW
473,"Shawshank Redemption, The","Darabont, Frank",1994,USA,142,Prison-Drama,Col
474,All That Jazz,"Fosse, Bob",1979,USA,123,Musical-Fantasy-Drama,Col
475,Shadows,"Cassavetes, John",1959,USA,87,Drama,BW
476,Pyaasa,"Dutt, Guru",1957,India,146,Drama-Musical-Romance,BW
477,"Moment of Innocence, A","Makhmalbaf, Mohsen",1996,Iran-France,78,Drama-Comedy,Col
478,"Out 1, noli me tangere","Rivette, Jacques",1971,France,729,Comedy-Drama-Thriller,Col-BW
479,Limite,"Peixoto, Mario",1931,Brazil,114,Drama,BW
480,Chelsea Girls,"Warhol, Andy",1966,USA,210,Drama-Avant-Garde,Col-BW
481,"Hour of the Furnaces, The","Getino, Octavio & Fernando E. Solanas",1968,Argentina,260,Political-Documentary-History,BW
482,Lola,"Demy, Jacques",1961,France,90,Romance-Drama,BW
483,Hour of the Wolf,"Bergman, Ingmar",1968,Sweden,88,Horror-Drama,BW
484,Cat People,"Tourneur, Jacques",1942,USA,73,Thriller-Horror-Mystery,BW
485,"Master, The","Anderson, Paul Thomas",2012,USA,144,Drama,Col
486,A.I. Artificial Intelligence,"Spielberg, Steven",2001,USA,145,Science Fiction-Drama,Col
487,All the President's Men,"Pakula, Alan J.",1976,USA,138,Political-Drama,Col
488,"Act of Killing, The","Oppenheimer, Joshua",2012,Denmark-Norway-UK-Finland,115,Documentary-Crime-History,Col
489,Frankenstein,"Whale, James",1931,USA,70,Horror-Science Fiction,BW
490,Miracle in Milan,"De Sica, Vittorio",1951,Italy,95,Fantasy-Drama-Comedy,BW
491,Grizzly Man,"Herzog, Werner",2005,USA,103,Documentary,Col
492,Forrest Gump,"Zemeckis, Robert",1994,USA,142,Drama-Comedy,Col
493,"Wind, The","Sjöström, Victor",1928,USA,88,Drama,BW
494,Strangers on a Train,"Hitchcock, Alfred",1951,USA,101,Thriller-Drama-Crime,BW
495,India Song,"Duras, Marguerite",1975,France,120,Drama,Col
496,Grey Gardens,"Maysles, David/Albert Maysles/Ellen Hovde/Muffie Meyer",1975,USA,95,Documentary-Comedy,Col
497,Barton Fink,"Coen, Joel & Ethan Coen",1991,USA,117,Drama-Comedy,Col
498,Shane,"Stevens, George",1953,USA,118,Western-Drama,Col
499,"Lady from Shanghai, The","Welles, Orson",1948,USA,87,Mystery-Crime-Thriller,BW
500,Laura,"Preminger, Otto",1944,USA,85,Mystery-Romance-Thriller,BW
501,Se7en,"Fincher, David",1995,USA,127,Thriller-Mystery-Drama,Col
502,"Lives of Others, The","von Donnersmarck, Florian Henckel",2006,Germany,138,Drama,Col
503,Ninotchka,"Lubitsch, Ernst",1939,USA,110,Romance-Comedy,BW
504,Chronicle of a Summer,"Rouch, Jean & Edgar Morin",1961,France,85,Documentary,BW
505,Die Hard,"McTiernan, John",1988,USA,131,Thriller-Action,Col
506,Mad Max 2,"Miller, George",1981,Australia,94,Science Fiction-Action-Adventure,Col
507,Triumph of the Will,"Riefenstahl, Leni",1935,Germany,110,Documentary-History-Political,BW
508,Winter Light,"Bergman, Ingmar",1962,Sweden,80,Religious-Drama,BW
509,Pan's Labyrinth,"del Toro, Guillermo",2006,Spain-Mexico-USA,120,Drama-Fantasy-Thriller,Col
510,To Have and Have Not,"Hawks, Howard",1944,USA,100,Romance-Drama-Adventure,BW
511,Tootsie,"Pollack, Sydney",1982,USA,116,Romance-Comedy,Col
512,Short Cuts,"Altman, Robert",1993,USA,189,Drama,Col
513,My Friend Ivan Lapshin,"German, Aleksey",1985,USSR,100,Drama,Col-BW
514,Toy Story,"Lasseter, John",1995,USA,80,Fantasy-Comedy-Family-Animated,Col
515,"Sound of Music, The","Wise, Robert",1965,USA,174,Musical-Drama-Family,Col
516,"Wind Will Carry Us, The","Kiarostami, Abbas",1999,France-Iran,118,Drama,Col
517,Koyaanisqatsi,"Reggio, Godfrey",1982,USA,87,Documentary,Col
518,"Farewell, My Concubine",Chen Kaige,1993,China-Hong Kong,155,History-Drama-Romance,Col
519,12 Angry Men,"Lumet, Sidney",1957,USA,95,Drama,BW
520,"Vampires, Les","Feuillade, Louis",1915,France,440,Thriller-Crime-Action,BW
521,Shadow of a Doubt,"Hitchcock, Alfred",1943,USA,108,Thriller,BW
522,Point Blank,"Boorman, John",1967,USA,92,Thriller-Crime-Action,Col
523,Alphaville,"Godard, Jean-Luc",1965,France,95,Science Fiction-Mystery-Drama,BW
524,Amélie,"Jeunet, Jean-Pierre",2001,France-Germany,122,Romance-Comedy,Col
525,"Terra trema, La","Visconti, Luchino",1948,Italy,160,Drama,BW
526,Orlando,"Potter, Sally",1992,UK-Russia-France-Italy-Netherlands,94,History-Drama-Fantasy,Col
527,Hannah and Her Sisters,"Allen, Woody",1986,USA,106,Drama-Comedy-Romance,Col
528,"Night at the Opera, A","Wood, Sam",1935,USA,92,Romance-Musical-Comedy,BW
529,Songs from the Second Floor,"Andersson, Roy",2000,Sweden-France-Denmark-Norway-Germany,98,Drama,Col
530,Colossal Youth,"Costa, Pedro",2006,France-Portugal-Switzerland,155,Drama,Col
531,Inland Empire,"Lynch, David",2006,USA-France-Poland,180,Drama-Mystery-Thriller,Col
532,Alexander Nevsky,"Eisenstein, Sergei",1938,USSR,107,War-History-Biography,BW
533,"Damned, The","Visconti, Luchino",1969,Italy-West Germany,155,War-Drama,Col
534,Faust,"Murnau, F.W.",1926,Germany,116,Fantasy-Drama-Horror,BW
535,"Social Network, The","Fincher, David",2010,USA,120,Biography-Drama-History,Col
536,"Royal Tenenbaums, The","Anderson, Wes",2001,USA,109,Drama-Comedy,Col
537,Masculin Feminin,"Godard, Jean-Luc",1966,France-Sweden,103,Drama,BW
538,Once Upon a Time in Anatolia,"Ceylan, Nuri Bilge",2011,Turkey-Bosnia and Herzergovina,150,Crime-Drama,Col
539,"Steamboat Bill, Jr.","Keaton, Buster/Charles Reisner",1928,USA,71,Romance-Comedy-Adventure,BW
540,"French Connection, The","Friedkin, William",1971,USA,104,Crime,Col
541,Terminator 2: Judgment Day,"Cameron, James",1991,USA,136,Science Fiction-Action,Col
542,Pat Garrett and Billy the Kid,"Peckinpah, Sam",1973,USA,122,Western,Col
543,Casino,"Scorsese, Martin",1995,USA,182,Drama-Crime,Col
544,Kagemusha,"Kurosawa, Akira",1980,Japan,159,War-Drama-History,Col
545,Still Life,Jia Zhangke,2006,China-Hong Kong,113,Drama-Romance,Col
546,Gimme Shelter,"Maysles, Albert/David Maysles/Charlotte Zwerin",1970,USA,91,Documentary-Musical-History,Col
547,East of Eden,"Kazan, Elia",1955,USA,115,Drama,Col
548,Zodiac,"Fincher, David",2007,USA,158,Crime-Drama-Thriller,Col
549,Trainspotting,"Boyle, Danny",1996,UK,95,Drama-Comedy,Col
550,Silent Light,"Reygadas, Carlos",2007,Mexico-France-Netherlands,136,Drama,Col
551,"Amants du Pont-Neuf, Les","Carax, Leos",1991,France,126,Drama,Col
552,Doctor Zhivago,"Lean, David",1965,USA,197,War-Romance-Drama,Col
553,"4 Months, 3 Weeks and 2 Days","Mungiu, Cristian",2007,Romania-Netherlands-France-Germany,113,Drama,Col
554,"Enigma of Kaspar Hauser, The","Herzog, Werner",1974,West Germany,110,Biography-Drama,Col
555,"Devil, Probably, The","Bresson, Robert",1977,France,95,Drama,Col
556,Children of Men,"Cuarón, Alfonso",2006,USA-UK,109,Drama-Science Fiction-Thriller,Col
557,Evil Dead II,"Raimi, Sam",1987,USA,85,Horror,Col
558,Limelight,"Chaplin, Charles",1952,USA,145,Drama-Comedy,BW
559,Fellini Satyricon,"Fellini, Federico",1969,Italy,129,History-Drama,Col
560,Early Summer,"Ozu, Yasujiro",1951,Japan,135,Drama,BW
561,In Vanda's Room,"Costa, Pedro",2000,Portugal-Germany-Switzerland-Italy,170,Drama,Col
562,Top Hat,"Sandrich, Mark",1935,USA,99,Romance-Musical-Comedy,BW
563,"Big Heat, The","Lang, Fritz",1953,USA,90,Drama-Crime,BW
564,My Own Private Idaho,"Van Sant, Gus",1991,USA,102,Drama,Col
565,"Servant, The","Losey, Joseph",1963,UK,115,Drama,BW
566,Rosetta,"Dardenne, Jean-Pierre & Luc Dardenne",1999,Belgium-France,94,Drama,Col
567,"Bitter Tears of Petra von Kant, The","Fassbinder, Rainer Werner",1972,West Germany,124,Drama,Col
568,Full Metal Jacket,"Kubrick, Stanley",1987,USA,116,War-Drama-Action,Col
569,Hatari!,"Hawks, Howard",1962,USA,159,Drama,Col
570,Providence,"Resnais, Alain",1977,France-Switzerland,110,Drama,Col
571,Secrets & Lies,"Leigh, Mike",1996,UK,142,Drama-Comedy,Col
572,Deliverance,"Boorman, John",1972,USA,109,Adventure-Thriller-Drama,Col
573,Hana-Bi,"Kitano, Takeshi",1997,Japan,103,Drama-Crime,Col
574,"Vitelloni, I","Fellini, Federico",1953,Italy,104,Drama,BW
575,"Région centrale, La","Snow, Michael",1971,Canada,180,Avant-Garde,Col
576,"39 Steps, The","Hitchcock, Alfred",1935,UK,87,Spy-Thriller,BW
577,"Rise to Power of Louis XIV, The","Rossellini, Roberto",1966,France,100,Drama-Biography-History,Col
578,Scarface,"Hawks, Howard",1932,USA,90,Crime-Biography-Drama,BW
579,Alice in the Cities,"Wenders, Wim",1974,West Germany,110,Drama,BW
580,"Red Circle, The","Melville, Jean-Pierre",1970,France-Italy,150,Thriller-Crime,Col
581,Boudu Saved from Drowning,"Renoir, Jean",1932,France,87,Comedy,BW
582,Marketa Lazarová,"Vlácil, Frantisek",1967,Czechoslovakia,162,History-Drama,BW
583,Young Frankenstein,"Brooks, Mel",1974,USA,105,Horror-Comedy-Science Fiction,BW
584,"Lady Vanishes, The","Hitchcock, Alfred",1938,UK,97,Spy-Mystery-Thriller,BW
585,"Phantom of Liberty, The","Buñuel, Luis",1974,France,104,Drama-Comedy-Avant Garde,Col
586,"Age of Innocence, The","Scorsese, Martin",1993,USA,133,Romance-Drama,Col
587,Rebel Without a Cause,"Ray, Nicholas",1955,USA,111,Drama,Col
588,"Belle noiseuse, La","Rivette, Jacques",1991,France,240,Drama,Col
589,Tale of Tales,"Norshteyn, Yuriy",1979,USSR,29,Animated-Short,Col
590,Being There,"Ashby, Hal",1979,USA,130,Drama-Comedy,Col
591,Rushmore,"Anderson, Wes",1998,USA,93,Comedy,Col
592,"Fly, The","Cronenberg, David",1986,USA,100,Horror,Col
593,Distant,"Ceylan, Nuri Bilge",2002,Turkey-Netherlands,110,Drama,Col
594,And Life Goes On...,"Kiarostami, Abbas",1992,Iran,108,Drama-Documentary,Col
595,Shock Corridor,"Fuller, Samuel",1963,USA,101,Drama-Mystery,BW
596,Salesman,"Maysles, Albert/David Maysles/Charlotte Zwerin",1969,USA,85,Documentary,BW
597,"Ascent, The","Shepitko, Larisa",1976,USSR,111,War-Drama,BW
598,Wagon Master,"Ford, John",1950,USA,86,Western,BW
599,Raising Arizona,"Coen, Joel & Ethan Coen",1987,USA,92,Comedy,Col
600,"Harlan County, U.S.A.","Kopple, Barbara",1976,USA,103,Documentary,Col
601,That Obscure Object of Desire,"Buñuel, Luis",1977,France-Spain,103,Drama,Col
602,Possession,"Zulawski, Andrzej",1981,France-West Germany,127,Horror-Drama,Col
603,"Killing, The","Kubrick, Stanley",1956,USA,85,Crime-Thriller,BW
604,Bigger Than Life,"Ray, Nicholas",1956,USA,95,Drama,Col
605,"Testament of Dr. Mabuse, The","Lang, Fritz",1933,Germany,120,Thriller-Mystery-Crime,BW
606,"Dark Knight, The","Nolan, Christopher",2008,USA-UK,152,Action-Crime-Thriller,Col
607,"Son, The","Dardenne, Jean-Pierre & Luc Dardenne",2002,Belgium-France,103,Drama,Col
608,Syndromes and a Century,"Weerasethakul, Apichatpong",2006,Thailand-France-Austria-Netherlands,105,Drama,Col
609,Rocky,"Avildsen, John G.",1976,USA,119,Sport-Drama,Col
610,Down by Law,"Jarmusch, Jim",1986,USA,107,Comedy,BW
611,Bande à part,"Godard, Jean-Luc",1964,France,97,Crime-Drama-Romance,BW
612,"Devils, The","Russell, Ken",1971,UK,109,History-Drama-Horror,Col
613,Y tu mamá también,"Cuarón, Alfonso",2001,Mexico,105,Drama-Comedy,Col
614,"Hard Day's Night, A","Lester, Richard",1964,UK,87,Musical-Comedy,BW
615,"Ciénaga, La","Martel, Lucrecia",2001,Argentina-France-Spain,103,Drama-Comedy,Col
616,Aparajito,"Ray, Satyajit",1956,India,108,Drama,BW
617,Fellini's Roma,"Fellini, Federico",1972,Italy,128,Drama-Comedy,Col
618,Before Sunset,"Linklater, Richard",2004,USA,80,Romance-Drama,Col
619,After Life,"Koreeda, Hirokazu",1998,Japan,118,Drama-Fantasy,Col
620,"Manchurian Candidate, The","Frankenheimer, John",1962,USA,126,Political-Thriller-Drama,BW
621,"Party, The","Edwards, Blake",1968,USA,99,Comedy,Col
622,"Angel at My Table, An","Campion, Jane",1990,New Zealand-Australia-UK-USA,158,Drama-Biography,Col
623,Detour,"Ulmer, Edgar G.",1945,USA,69,Crime,BW
624,"Blue Angel, The","von Sternberg, Josef",1930,Germany,103,Drama,BW
625,Local Hero,"Forsyth, Bill",1983,UK,111,Drama-Comedy,Col
626,Let the Right One In,"Alfredson, Tomas",2008,Sweden-Norway,114,Drama-Horror-Romance,Col
627,"Asphalt Jungle, The","Huston, John",1950,USA,112,Thriller-Crime,BW
628,Picnic at Hanging Rock,"Weir, Peter",1975,Australia,110,Mystery-Drama,Col
629,Fat City,"Huston, John",1972,USA,100,Sport,Col
630,White Heat,"Walsh, Raoul",1949,USA,114,Crime,BW
631,Memento,"Nolan, Christopher",2000,USA,113,Thriller-Mystery-Drama,Col
632,Invasion of the Body Snatchers,"Siegel, Don",1956,USA,80,Science Fiction-Horror,BW
633,Seven Chances,"Keaton, Buster",1925,USA,56,Romance-Comedy,BW
634,I Walked with a Zombie,"Tourneur, Jacques",1943,USA,69,Horror-Drama-Romance,BW
635,Nostalgia for the Light,"Guzmán, Patricio",2010,France-Germany-Chile-Spain-USA,90,Documentary-Drama,Col
636,Scorpio Rising,"Anger, Kenneth",1963,USA,28,Short-Avant-Garde-Music,Col
637,Loves of a Blonde,"Forman, Milos",1965,Czechoslovakia,88,Drama-Comedy,BW
